symbol,actual1_T
AAPL,259.58
ACCO,4.08
ADBE,354.12
ADV,1.45
AENT,5.32
AHCO,9.23
AHL,36.73
AII,23.05
ALAB,163.64
ALIT,3.1
ALK,46.63
AMRK,27.33
AMTM,23.16
AMZN,221.09
ARCO,7.22
ARDT,14.81
ASIX,20.23
ASML,1036.41
ATR,130.77
AVGO,344.29
AVNW,24.33
AXON,716.39
BA,217.77
BABA,171.9
BHVN,16.3
BIIB,150.08
BILL,50.77
BMRN,54.55
BRBR,33.39
BRZE,28.13
BTM,2.85
BWMX,12.98
CAL,12.82
CBZ,53.2
CCJ,86.3
CDE,18.98
CG,57.55
CHE,435.39
CHMI,2.43
CIVI,29.15
CLDX,26.26
CLS,282.73
CMPS,6.24
CON,20.55
COP,90.08
COUR,10.56
CPRX,20.73
CRM,255.05
CRNT,2.48
CRNX,40.08
CRTO,20.77
CSTM,16.7
CTRA,23.74
CVE,17.31
CVNA,342.01
CVS,81.07
CVX,156.56
CWAN,19.15
CWT,49.86
DAR,34.67
DAVA,8.71
DBRG,12.44
DDI,9.07
DDL,1.9
DDOG,156.59
DHR,222.73
DIS,113.03
DOX,83.52
DUOL,313.45
DVN,33.44
DXCM,71.06
EEFT,83.44
EFX,231.31
ENOV,32.54
ERIE,325.69
EVH,7.5
FANG,147.17
FI,123.96
FINV,6.82
FLOC,15.8
FSLR,229.0
GDEV,23.75
GDYN,7.96
GE,306.39
GOOGL,253.08
GPCR,26.56
HAL,27.22
HBM,15.43
HLF,8.51
HQY,96.34
HRTG,24.03
HTO,50.74
IBM,285.0
IDYA,28.42
IMCR,31.6
IMVT,18.74
IMXI,14.82
INSW,49.43
INTC,38.16
ITGR,73.89
JANX,24.46
KELYA,12.58
KINS,15.3
KNF,63.05
KO,69.94
KOP,28.72
KRO,4.83
LFST,5.14
LKQ,30.62
LNTH,56.515
LVO,5.64
LW,65.16
MA,573.77
MANH,194.68
MATV,11.51
MAX,11.29
MCD,306.97
MD,17.17
MDB,330.01
MDLZ,61.01
MDXG,6.64
META,734.0
MNKD,5.49
MNMD,12.47
MPAA,16.34
MRVL,82.77
MSFT,520.56
MTDR,40.49
MU,206.71
NESR,12.11
NFLX,1113.59
NKE,69.68
NRDS,11.57
NVDA,182.16
NX,15.25
PACS,12.74
PAR,36.25
PEP,151.51
PFE,24.67
PFGC,101.76
PG,151.162400649183
PMTS,17.22
PRCT,34.62
PRU,101.76
QCOM,170.03
QUAD,5.91
RARE,33.63
RCI,38.62
RCKT,3.74
SBUX,85.44
SHOP,167.03
SLB,36.01
SLGN,44.64
SLP,17.23
SLVM,43.51
SMCI,47.92
SMP,41.39
SNDX,14.68
SNPS,456.09
SPB,55.27
SPGI,482.7
SPNT,18.37
SPRY,9.65
SSTK,25.31
STZ,139.72
TBLA,3.4
TCOM,71.08
TEAD,1.54
TMUS,219.99
TNC,81.21
TRVG,3.067
TSLA,448.98
TWLO,110.82
TX,36.26
TXG,13.36
TXN,172.19
TXO,13.2
UAL,95.68
UBER,94.61
UHS,208.63
UIS,3.74
UNH,360.45
UPBD,22.74
UPWK,16.12
UTL,49.7
UTZ,12.36
VCEL,35.99
VERA,28.2
W,83.12
WDAY,243.28
WELL,176.06
WMT,106.86
WSR,12.15
XOM,115.98
XPO,125.45
YUMC,45.51
ZBH,103.16
ZM,82.79
ZTS,146.39
