symbol,actual1_T
AAPL,254.04
ACCO,3.91
ADBE,347.47
ADV,1.52
AENT,6.65
AHCO,8.96
AHL,36.7
ALAB,225.43
ALIT,3.06
ALK,49.15
AMRK,27.27
AMTM,23.9
AMZN,227.74
ARCO,6.89
ARDT,14.34
ASIX,20.66
ASML,980.54
ATR,130.61
AVGO,345.02
AVNW,22.33
AXON,734.04
BA,216.0
BABA,173.68
BHVN,17.23
BIIB,149.61
BILL,51.07
BMRN,53.85
BRZE,27.57
BTM,3.33
BWMX,12.55
CAL,13.27
CBZ,55.48
CCJ,86.73
CDE,20.05
CG,59.1
CHE,431.41
CHMI,2.43
CIVI,32.94
CLDX,27.54
CLS,259.78
CMPS,6.44
CON,20.87
COP,91.95
COUR,10.19
CPRX,20.82
CRM,245.33
CRNT,2.43
CRNX,45.76
CRTO,20.71
CSTM,15.0
CTRA,23.62
CVE,18.08
CVNA,360.03
CVS,76.74
CVX,151.64
CWAN,17.95
CWT,46.76
DAR,31.35
DAVA,8.95
DBRG,11.63
DDI,8.96
DDL,1.9
DDOG,164.07
DHR,204.48
DIS,110.99
DOX,81.8
DUOL,337.19
DVN,34.35
DXCM,68.08
EEFT,86.15
EFX,233.25
ENOV,31.37
ERIE,320.45
EVH,8.17
FANG,144.21
FI,125.96
FINV,6.99
FLOC,15.13
FSLR,234.3
GDEV,33.19
GDYN,8.26
GE,299.35
GOOGL,241.53
GPCR,30.55
HAL,23.4
HBM,17.09
HLF,9.02
HQY,92.78
HRTG,25.64
HTO,48.4
IBM,288.23
IDYA,26.79
IMCR,33.76
IMVT,17.48
IMXI,14.7
INSW,44.71
INTC,37.8
ITGR,103.4
JANX,25.85
KELYA,12.75
KINS,14.59
KNF,66.46
KO,66.37
KOP,26.5
KRO,5.34
LFST,5.36
LKQ,29.31
LNTH,52.39
LVO,4.19
LW,64.58
MA,564.55
MANH,203.51
MATV,10.43
MAX,10.8
MCD,293.81
MD,16.22
MDB,331.48
MDLZ,61.0
MDXG,6.92
META,733.51
MNKD,5.14
MNMD,12.5
MPAA,15.25
MRVL,90.6164911871133
MSFT,522.4
MTDR,44.65
MU,192.33
NESR,10.035
NFLX,1231.07
NKE,68.06
NRDS,10.65
NVDA,192.57
NX,14.05
PACS,13.1
PAR,37.59
PEP,144.71
PFE,25.24
PFGC,100.38
PG,150.58
PMTS,16.15
PRCT,34.83
PRU,102.56
QCOM,165.66
QUAD,5.7
RARE,31.66
RCI,36.2
RCKT,3.67
SBUX,79.78
SHOP,163.87
SLB,33.13
SLGN,42.75
SLP,15.71
SLVM,41.85
SMCI,57.98
SMP,38.71
SNDX,16.2
SNPS,484.41
SPB,51.52
SPGI,487.61
SPNT,18.5
SPRY,11.58
SSTK,21.75
STZ,142.97
TBLA,3.18
TCOM,71.11
TEAD,1.63
TMUS,226.21
TNC,79.7
TRVG,3.29
TSLA,435.54
TWLO,113.96
TX,36.04
TXG,11.71
TXN,178.96
TXO,13.9
UAL,101.34
UBER,96.0
UHS,201.6
UPWK,17.425
W,78.87
WDAY,238.22
WELL,167.27
WMT,101.77
WSR,11.62
XOM,112.91
XPO,137.67
ZBH,97.37
ZM,82.7
ZTS,143.39
