symbol,actual1_T
A,135.39
AAPL,270.01
ABBV,225.64
ABNB,131.31
ABT,109.41
ACCO,3.97
ACGL,96.71
ACN,266.79
ADBE,293.38
ADI,316.86
ADM,68.08
ADP,247.56
ADSK,255.57
ADV,1.14
AEE,102.4
AENT,7.71
AEP,118.33
AES,14.73
AFL,111.95
AHCO,10.1
AHL,37.34
AIG,73.92
AII,19.0
AIZ,240.39
AJG,245.27
AKAM,96.63
ALAB,152.44
ALB,164.93
ALGN,163.63
ALIT,1.62
ALK,52.64
ALL,200.76
ALLE,165.52
AMAT,328.4
AMCR,43.75
AMD,246.27
AME,227.72
AMGN,344.68
AMP,532.18
AMT,173.7
AMTM,35.89
AMZN,242.96
ANET,138.37
AON,349.61
AOS,74.71
APA,25.89
APD,270.99
APH,144.93
APO,133.19
APPF,195.06
APTV,77.98
ARCO,8.24
ARDT,8.59
ARE,54.15
ASIX,16.42
ASML,1441.39
ATO,166.52
ATR,124.83
AVB,175.32
AVGO,331.11
AVNW,22.64
AVY,187.09
AWK,126.57
AXON,459.99
AXP,352.83
AZO,3722.41
BA,233.02
BAC,54.03
BALL,56.69
BAX,19.87
BBY,65.9
BDX,201.91
BEN,27.07
BETA,19.93
BG,113.98
BHVN,11.75
BIIB,179.09
BILL,41.63
BK,121.61
BKNG,5122.25
BKR,56.45
BLDR,113.27
BLK,1119.66
BMRN,57.95
BMY,55.89
BR,198.34
BRO,71.3
BRZE,20.74
BSX,91.87
BTM,0.9302
BWMX,18.74
BX,141.28
BXP,63.06
C,116.23
CAG,18.38
CAH,218.93
CAL,12.69
CARR,60.36
CAT,690.91
CB,311.25
CBOE,263.92
CBRE,169.36
CBZ,40.59
CCI,84.96
CCJ,120.21
CCL,32.45
CDE,20.32
CDNS,289.19
CDW,126.83
CEG,270.88
CF,89.84
CFG,64.86
CG,60.36
CHA,11.48
CHD,97.34
CHE,435.27
CHMI,2.67
CHRW,198.5
CHTR,213.61
CI,271.54
CINF,162.48
CIVI,27.38
CL,91.89
CLDX,24.66
CLS,285.11
CLX,113.29
CMCSA,29.59
CME,290.77
CMG,38.51
CMI,595.13
CMPS,6.61
CMS,70.55
CNC,42.8
CNNE,14.47
CNP,39.38
COF,223.68
COIN,187.86
CON,22.15
COO,80.65
COP,101.79
COR,363.56
COST,968.36
COUR,6.26
CPAY,304.87
CPB,27.53
CPRT,39.68
CPRX,25.0
CPT,107.3
CRL,213.22
CRM,210.81
CRNT,2.39
CRNX,49.35
CRTO,19.01
CRWD,438.85
CSCO,80.64
CSGP,61.18
CSTM,23.7
CSX,38.39
CTAS,190.91
CTRA,27.81
CTSH,82.91
CTVA,73.2
CVE,19.46
CVLT,87.35
CVNA,407.89
CVS,75.42
CVX,174.03
CWAN,24.08
CWT,44.51
CZR,20.59
D,60.03
DAL,69.08
DAR,47.35
DASH,207.67
DAVA,6.25
DAY,68.92
DBRG,15.44
DD,44.43
DDI,8.81
DDL,3.06
DDOG,129.05
DE,532.25
DECK,116.25
DELL,119.16
DG,143.51
DGX,185.0
DHI,149.77
DHR,223.42
DIS,104.45
DLR,165.11
DLTR,117.22
DOC,16.92
DOV,207.32
DOW,28.88
DOX,81.01
DPZ,409.22
DRI,200.9
DTE,132.93
DUK,119.49
DUOL,131.93
DVA,111.19
DVN,40.14
DXCM,72.53
EA,203.6
EBAY,93.78
ECL,283.65
ED,105.42
EEFT,72.28
EFX,199.17
EG,331.76
EHC,93.83
EIX,60.75
EL,118.76
ELV,341.83
EMN,71.48
EMR,148.63
ENOV,22.17
ENPH,36.47
EOG,108.41
EPAM,210.42
EQIX,810.38
EQR,61.61
EQT,54.75
ERIE,281.93
ES,67.91
ESS,248.46
ETN,359.44
ETR,95.49
EVH,3.26
EVRG,75.96
EW,82.65
EXC,43.91
EXE,106.94
EXPD,163.55
EXPE,276.67
EXR,135.2
F,13.81
FANG,158.64
FAST,44.8
FCX,60.76
FDS,248.76
FDX,335.3
FE,46.99
FFIV,280.72
FICO,1450.91
FINV,5.15
FIS,56.08
FITB,51.95
FLOC,21.16
FOXA,72.38
FRT,100.33
FSLR,230.55
FTNT,81.29
FTV,53.7
GD,346.37
GDDY,100.16
GDEV,14.88
GDYN,8.29
GE,308.71
GEHC,80.11
GEN,23.79
GEV,754.97
GILD,142.89
GIS,45.62
GL,143.44
GLW,110.36
GM,84.27
GNRC,170.96
GOOGL,343.69
GPC,141.26
GPCR,89.84
GPN,71.99
GRMN,206.92
GRND,11.0
GS,946.33
GWW,1096.18
HAL,32.83
HAS,93.84
HBAN,17.88
HBM,24.1
HCA,496.85
HD,378.12
HIG,137.17
HII,420.3
HLF,17.4
HLT,302.93
HOLX,74.74
HON,227.56
HPE,22.01
HPQ,19.81
HQY,87.07
