symbol,name,actual1_T,consensus1_T,forecast1_T,forecast10_T,delta_f1_c1_pct,delta_f1_act_pct,delta_f10_c1_pct,delta_f10_act_pct
GDEV,GDEV Inc.,21.42,14.75,14.57,28.45,-1.2%,-32.0%,92.9%,32.8%
JANX,Janux Therapeutics,,24.21,24.07,38.47,-0.6%,,58.9%,
GPCR,Structure Therapeutics Inc.,23.58,22.28,22.16,34.88,-0.6%,-6.0%,56.5%,47.9%
BHVN,Biohaven Pharmaceutical Holding Co Ltd.,14.32,16.00,15.91,24.16,-0.6%,11.1%,51.0%,68.7%
CMPS,COMPASS Pathways plc,4.90,5.18,5.16,7.59,-0.4%,5.3%,46.6%,54.9%
RARE,ULTRAGENYX PHARMACEUTICAL INC.,28.13,32.04,31.93,45.64,-0.3%,13.5%,42.5%,62.3%
PACS,PACS Group Inc.,11.97,11.25,11.21,16.02,-0.3%,-6.4%,42.5%,33.9%
VERA,Vera Therapeutics Inc.,25.59,24.34,24.28,33.86,-0.3%,-5.1%,39.1%,32.3%
CLDX,Celldex Therapeutics Inc.,24.61,23.00,22.93,31.25,-0.3%,-6.8%,35.8%,27.0%
CRNT,Ceragon Networks Ltd.,,1.99,1.99,2.68,-0.3%,,34.4%,
RCKT,Rocket Pharmaceuticals Inc.,3.07,3.30,3.29,4.43,-0.3%,7.1%,34.3%,44.3%
PMTS,CPI Card Group Inc.,15.62,14.38,14.34,19.24,-0.3%,-8.2%,33.8%,23.2%
IMVT,Immunovant Inc.,14.78,17.23,17.20,22.93,-0.2%,16.3%,33.1%,55.1%
ALIT,Alight Inc.,,3.60,3.59,4.74,-0.3%,,31.8%,
FLOC,Flowco,15.25,15.63,15.62,20.14,-0.1%,2.4%,28.8%,32.1%
SNDX,Syndax Pharmaceuticals Inc.,,17.12,17.10,22.03,-0.1%,,28.7%,
ACCO,ACCO Brands Corporation,4.10,4.06,4.05,5.20,-0.1%,-1.1%,28.2%,26.9%
CRNX,CRINETICS PHARMACEUTICALS INC.,,34.79,34.77,43.52,-0.0%,,25.1%,
DDI,DoubleDown Interactive Co. Ltd.,9.47,9.58,9.58,11.75,-0.0%,1.2%,22.6%,24.1%
MNKD,MANNKIND CORPORATION,5.43,5.56,5.55,6.80,-0.1%,2.3%,22.3%,25.3%
KELYA,Kelly Services Inc.,,13.92,13.91,16.91,-0.1%,,21.5%,
TEAD,Teads Holding Co.,1.68,1.64,1.63,1.98,-0.1%,-2.7%,21.0%,17.8%
KOP,Koppers Holdings Inc.,,28.96,28.94,34.80,-0.1%,,20.2%,
IDYA,IDEAYA Biosciences Inc.,25.74,27.24,27.26,32.09,0.1%,5.9%,17.8%,24.7%
CPRX,Catalyst Pharmaceuticals Inc.,19.78,20.35,20.36,23.80,0.1%,2.9%,17.0%,20.3%
AENT,Alliance Entertainment Holding Corporation,,5.94,5.94,6.94,-0.0%,,17.0%,
IMCR,Immunocore Holdings plc,32.60,37.30,37.33,43.48,0.1%,14.5%,16.6%,33.4%
CRTO,Criteo S.A.,,23.39,23.41,27.05,0.1%,,15.7%,
AMRK,A-Mark Precious Metals Inc.,26.83,23.90,23.93,27.60,0.1%,-10.8%,15.5%,2.9%
ENOV,enovix corporation,32.36,32.21,32.24,37.17,0.1%,-0.4%,15.4%,14.9%
